CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10030002;PRODESENVOLVIMENTO II    ;     265078200,94000 ;04/07/2013;BANCO DO BRASIL                                   ;20/00100-2;Oficial   ;DOLAR AMERICANO          ;          ;Interna   ;Contratada;SAC       ;05/01/2021;   30;   60;Semestral      ;        81260473,52129 ;20/08/2013;Realizado ;Ingresso   ;    98222244,56822 ;   231008897,00000 ;    98222244,56822 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;11/09/2015;Realizado ;Ingresso   ;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/12/2015;Realizado ;Ingresso   ;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/11/2020;Realizado ;Ingresso   ;        2483765,29 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/07/2018;Realizado ;Amortizacao;     3168459,49993 ;    12355407,82000 ;     3168459,49993 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;21/01/2019;Realizado ;Amortizacao;     3168459,49664 ;    12274612,09000 ;     3168459,49664 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2019;Realizado ;Amortizacao;     3168459,50026 ;    12173221,40000 ;     3168459,50026 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/01/2020;Realizado ;Amortizacao;     3168459,49963 ;    12854440,19000 ;     3168459,49963 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/01/2021;Realizado ;Amortizacao;     3385852,74913 ;    17599662,59000 ;     3385852,74913 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/07/2021;Realizado ;Amortizacao;     3385852,76958 ;    17096863,56000 ;     3385852,76958 ;            0,00 ;
