CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10030003;ADITIVO PRODESENVOLV. II ;      98467450,46000 ;03/09/2015;BANCO DO BRASIL                                   ;          ;Oficial   ;DOLAR AMERICANO          ;          ;Interna   ;Contratada;SAC       ;05/01/2021;   30;   27;Semestral      ;        81923596,86087 ;11/09/2015;Realizado ;Ingresso   ;    18280873,62047 ;    68991103,00000 ;    18280873,62047 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/12/2015;Realizado ;Ingresso   ;    80186576,84113 ;   299978000,00000 ;    80186576,84113 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/07/2018;Realizado ;Amortizacao;     3176369,37043 ;    12386252,36000 ;     3176369,37043 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;21/01/2019;Realizado ;Amortizacao;     3176369,35983 ;    12305254,90000 ;     3176369,35983 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2019;Realizado ;Amortizacao;     3176369,35970 ;    12203611,08000 ;     3176369,35970 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/01/2020;Realizado ;Amortizacao;     3176369,35913 ;    12886530,49000 ;     3176369,35913 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/01/2021;Realizado ;Amortizacao;     3413482,63947 ;    17743282,76000 ;     3413482,63947 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/07/2021;Realizado ;Amortizacao;     3413482,65966 ;    17236380,69000 ;     3413482,65966 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2022;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2022;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2023;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2023;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2024;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2024;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2025;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2025;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2026;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2026;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2027;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2027;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2028;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2028;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2029;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2029;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2030;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/07/2030;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/01/2031;Previsto  ;Amortizacao;     3413483,16000 ;           0,00000 ;           0,00000 ;            0,00 ;
