CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020100;FINAC. INVEST. - FINISA I;     600000000,00000 ;27/06/2017;CAIXA ECONOMICA FEDERAL                           ;482405-71 ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;08/02/2021;  109;     ;Mensal         ;       475265624,10000 ;09/08/2017;Realizado ;Ingresso   ;   307904923,84000 ;   307904923,84000 ;    97858342,89482 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2019;Realizado ;Ingresso   ;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/07/2019;Realizado ;Ingresso   ;   292095076,16000 ;   292095076,16000 ;    77153993,41690 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/07/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      736947,62561 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/08/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      741024,51487 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/09/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      695237,91242 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;11/10/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      761066,84459 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/11/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      762463,82063 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/12/2018;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      728936,39567 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/01/2019;Realizado ;Amortizacao;     2850971,51000 ;     2850971,51000 ;      773269,00265 ;            0,00 ;
