CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020037;PRO-MORADIA I            ;      14257600,00000 ;28/12/2007;CAIXA ECONOMICA FEDERAL                           ;227494-65 ;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/01/2021;  239;    6;Mensal         ;         7460291,97000 ;29/09/2008;Realizado ;Ingresso   ;      652223,84000 ;      652223,84000 ;      338817,24040 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/11/2008;Realizado ;Ingresso   ;     1055293,16000 ;     1055293,16000 ;      451169,48469 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/01/2009;Realizado ;Ingresso   ;      987225,71000 ;      987225,71000 ;      451014,06561 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/03/2009;Realizado ;Ingresso   ;      878223,76000 ;      878223,76000 ;      369293,09108 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;20/04/2009;Realizado ;Ingresso   ;     1007799,57000 ;     1007799,57000 ;      450909,68360 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/06/2009;Realizado ;Ingresso   ;      890459,97000 ;      890459,97000 ;      444802,56421 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/09/2009;Realizado ;Ingresso   ;      137424,31000 ;      137424,31000 ;       75520,15531 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/12/2009;Realizado ;Ingresso   ;      280509,28000 ;      280509,28000 ;      161015,13181 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/05/2010;Realizado ;Ingresso   ;      177683,67000 ;      177683,67000 ;       97804,19931 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/12/2010;Realizado ;Ingresso   ;      221103,77000 ;      221103,77000 ;      131326,79522 ;            0,00 ;
