CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020038;PROMORADIA II            ;     106400000,00000 ;03/10/2008;CAIXA ECONOMICA FEDERAL                           ;251560-70 ;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/01/2021;  241;   24;Mensal         ;        72705330,19000 ;30/01/2009;Realizado ;Ingresso   ;     5177500,00000 ;     5177500,00000 ;     2246154,82500 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2009;Realizado ;Ingresso   ;     1604880,15000 ;     1604880,15000 ;      736752,33046 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/07/2009;Realizado ;Ingresso   ;      461349,50000 ;      461349,50000 ;      234886,87093 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/08/2009;Realizado ;Ingresso   ;    12895255,83000 ;    12895255,83000 ;     7003671,34638 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;03/11/2009;Realizado ;Ingresso   ;     2120026,80000 ;     2120026,80000 ;     1205362,43740 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;01/12/2009;Realizado ;Ingresso   ;    21393556,55000 ;    21393556,55000 ;    12371038,01060 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;26/03/2010;Realizado ;Ingresso   ;    14250000,00000 ;    14250000,00000 ;     7816267,50000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2010;Realizado ;Ingresso   ;    10000000,00000 ;    10000000,00000 ;     5803400,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/04/2011;Realizado ;Ingresso   ;     1928046,42000 ;     1928046,42000 ;     1225466,30455 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/06/2011;Realizado ;Ingresso   ;     6289527,13000 ;     6289527,13000 ;     3972402,44003 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/08/2011;Realizado ;Ingresso   ;     1322741,79000 ;     1322741,79000 ;      833380,23737 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;16/11/2011;Realizado ;Ingresso   ;     2909393,83000 ;     2909393,83000 ;     1637057,72026 ;            0,00 ;
