CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020090;PROTRANSPORTES - CAIXA   ;     217000000,00000 ;22/03/2016;CAIXA ECONOMICA FEDERAL                           ;443766-27 ;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/02/2021;  241;   30;Mensal         ;        44638891,27000 ;10/11/2017;Realizado ;Ingresso   ;     6998659,09000 ;     6998659,09000 ;     2142779,45358 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;12/12/2017;Realizado ;Ingresso   ;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;15/01/2018;Realizado ;Ingresso   ;     3499329,54000 ;     3499329,54000 ;     1094800,23988 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2018;Realizado ;Ingresso   ;     2916107,95000 ;     2916107,95000 ;      898656,98695 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/04/2018;Realizado ;Ingresso   ;     8456713,06000 ;     8456713,06000 ;     2547500,24219 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;16/05/2018;Realizado ;Ingresso   ;     7436075,28000 ;     7436075,28000 ;     2020456,01432 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;21/06/2018;Realizado ;Ingresso   ;     3353524,15000 ;     3353524,15000 ;      884961,48794 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/08/2018;Realizado ;Ingresso   ;     4228356,53000 ;     4228356,53000 ;     1089436,05995 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;17/10/2018;Realizado ;Ingresso   ;     3455587,92000 ;     3455587,92000 ;     1279465,98325 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;22/01/2019;Realizado ;Ingresso   ;     1487215,06000 ;     1487215,06000 ;      395376,12370 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/03/2019;Realizado ;Ingresso   ;      495738,35000 ;      495738,35000 ;      128168,19300 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/05/2019;Realizado ;Ingresso   ;      233288,64000 ;      233288,64000 ;       58016,55188 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/09/2019;Realizado ;Ingresso   ;      543854,13000 ;      543854,13000 ;      130769,72555 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/01/2020;Realizado ;Ingresso   ;      199753,39000 ;      199753,39000 ;       47944,80866 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/03/2020;Realizado ;Ingresso   ;      130736,88000 ;      130736,88000 ;       27593,32589 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/07/2020;Realizado ;Ingresso   ;      183694,56000 ;      183694,56000 ;       35436,51756 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/09/2020;Realizado ;Ingresso   ;      183694,56000 ;      183694,56000 ;       32565,37159 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/12/2020;Realizado ;Ingresso   ;      138054,34000 ;      138054,34000 ;       27147,00541 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/03/2021;Realizado ;Ingresso   ;      137656,61000 ;      137656,61000 ;       24878,67912 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/04/2021;Realizado ;Ingresso   ;      291610,80000 ;      291610,80000 ;       53224,80321 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/05/2021;Realizado ;Ingresso   ;      842813,91000 ;      842813,91000 ;      158592,29344 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/12/2021;Previsto  ;Ingresso   ;    71762247,72000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/12/2022;Previsto  ;Ingresso   ;   100000000,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2018;Realizado ;Amortizacao;       79838,75000 ;       79838,75000 ;       21215,55103 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/11/2018;Realizado ;Amortizacao;       87770,60000 ;       87770,60000 ;       23473,36926 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/12/2018;Realizado ;Amortizacao;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2019;Realizado ;Amortizacao;       88650,50000 ;       88650,50000 ;       23824,82187 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/02/2019;Realizado ;Amortizacao;       92406,30000 ;       92406,30000 ;       24850,82625 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/03/2019;Realizado ;Amortizacao;       93980,52000 ;       93980,52000 ;       24297,72364 ;            0,00 ;
