CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020088;SANEAMENTO PARA TODOS III;      16226044,53000 ;08/05/2012;CAIXA ECONOMICA FEDERAL                           ;0351664-44;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/02/2021;  232;   16;Mensal         ;        13131436,39000 ;15/04/2014;Realizado ;Ingresso   ;       15995,32000 ;       15995,32000 ;        7186,53732 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;20/06/2014;Realizado ;Ingresso   ;     4051645,47000 ;     4051645,47000 ;     1810356,22890 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/08/2014;Realizado ;Ingresso   ;     3590398,24000 ;     3590398,24000 ;     1589289,78093 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;18/12/2014;Realizado ;Ingresso   ;     4245511,99000 ;     4245511,99000 ;     1591472,62457 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;12/03/2015;Realizado ;Ingresso   ;      201663,04000 ;      201663,04000 ;       64655,18725 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/05/2015;Realizado ;Ingresso   ;      291853,75000 ;      291853,75000 ;       91811,35267 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/10/2015;Realizado ;Ingresso   ;      287603,19000 ;      287603,19000 ;       74529,49065 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;11/10/2016;Realizado ;Ingresso   ;      450000,00000 ;      450000,00000 ;      140026,50000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2017;Realizado ;Ingresso   ;      227316,58000 ;      227316,58000 ;       73546,00629 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;01/07/2020;Realizado ;Ingresso   ;     1070940,63000 ;     1070940,63000 ;      199601,91461 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;12/07/2021;Realizado ;Ingresso   ;      482984,71000 ;      482984,71000 ;       92452,93318 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/12/2021;Previsto  ;Ingresso   ;     1310131,61000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/12/2019;Realizado ;Amortizacao;       45125,56000 ;       45125,56000 ;       10872,55242 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2020;Realizado ;Amortizacao;       45351,19000 ;       45351,19000 ;       11150,04357 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/05/2020;Realizado ;Amortizacao;       46265,04000 ;       46265,04000 ;        8024,67118 ;            0,00 ;
		;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/05/2014;Realizado ;Amortizacao;          35,13000 ;          35,13000 ;          15,82992 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/06/2014;Realizado ;Amortizacao;          36,62000 ;          36,62000 ;          16,39477 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2014;Realizado ;Amortizacao;        9395,92000 ;        9395,92000 ;        4230,41902 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2014;Realizado ;Amortizacao;        9452,85000 ;        9452,85000 ;        4112,36786 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2014;Realizado ;Amortizacao;       17920,94000 ;       17920,94000 ;        7932,70409 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2014;Realizado ;Amortizacao;       18026,27000 ;       18026,27000 ;        7488,47308 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/11/2014;Realizado ;Amortizacao;       18135,20000 ;       18135,20000 ;        7050,60305 ;            0,00 ;
