CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020039;SAN. P/TODOS II PARNAIBA ;      20900000,00000 ;02/05/2008;CAIXA ECONOMICA FEDERAL                           ;0228664-43;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/01/2021;  241;   18;Mensal         ;         8566241,45000 ;29/01/2009;Realizado ;Ingresso   ;      493323,50000 ;      493323,50000 ;      209351,69369 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;20/02/2009;Realizado ;Ingresso   ;       49484,11000 ;       49484,11000 ;       20690,79091 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/03/2009;Realizado ;Ingresso   ;      116098,28000 ;      116098,28000 ;       51445,46983 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;01/06/2009;Realizado ;Ingresso   ;      828962,00000 ;      828962,00000 ;      426418,05280 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/07/2009;Realizado ;Ingresso   ;      148635,87000 ;      148635,87000 ;       75674,98049 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/08/2009;Realizado ;Ingresso   ;      175925,07000 ;      175925,07000 ;       95548,42401 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/10/2009;Realizado ;Ingresso   ;      463645,69000 ;      463645,69000 ;      265743,16368 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/12/2009;Realizado ;Ingresso   ;      176315,00000 ;      176315,00000 ;      101206,57315 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;19/02/2010;Realizado ;Ingresso   ;      180465,08000 ;      180465,08000 ;       99614,91950 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/08/2010;Realizado ;Ingresso   ;      264823,64000 ;      264823,64000 ;      151007,73600 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/12/2010;Realizado ;Ingresso   ;      385677,45000 ;      385677,45000 ;      228170,63619 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;21/10/2011;Realizado ;Ingresso   ;      114421,99000 ;      114421,99000 ;       64270,83178 ;            0,00 ;
