CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020040;SAN. P/ TODOS II-TERESINA;      40000000,00000 ;02/05/2008;CAIXA ECONOMICA FEDERAL                           ;0228752-14;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/01/2021;  241;   18;Mensal         ;         8433294,47000 ;07/01/2009;Realizado ;Ingresso   ;       13737,31000 ;       13737,31000 ;        6195,11469 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;03/02/2009;Realizado ;Ingresso   ;       64247,00000 ;       64247,00000 ;       27759,20129 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;02/04/2009;Realizado ;Ingresso   ;       97660,10000 ;       97660,10000 ;       43685,31593 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/05/2009;Realizado ;Ingresso   ;      119352,62000 ;      119352,62000 ;       55574,16045 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2009;Realizado ;Ingresso   ;      269042,95000 ;      269042,95000 ;      134642,54432 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/01/2010;Realizado ;Ingresso   ;      135960,02000 ;      135960,02000 ;       73253,89917 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/05/2010;Realizado ;Ingresso   ;     2384151,76000 ;     2384151,76000 ;     1326947,34506 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;11/08/2010;Realizado ;Ingresso   ;      174809,17000 ;      174809,17000 ;       98968,21159 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/10/2010;Realizado ;Ingresso   ;      178504,37000 ;      178504,37000 ;      104840,97163 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/12/2010;Realizado ;Ingresso   ;       38606,40000 ;       38606,40000 ;       22730,67619 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/04/2011;Realizado ;Ingresso   ;      467314,92000 ;      467314,92000 ;      294777,57838 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/05/2011;Realizado ;Ingresso   ;      315047,70000 ;      315047,70000 ;      199409,44171 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;12/08/2011;Realizado ;Ingresso   ;      458539,39000 ;      458539,39000 ;      283799,19925 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;21/10/2011;Realizado ;Ingresso   ;     3970525,76000 ;     3970525,76000 ;     2230244,31939 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;03/04/2012;Realizado ;Ingresso   ;     1920391,15000 ;     1920391,15000 ;     1051913,45632 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/09/2012;Realizado ;Ingresso   ;     1043760,93000 ;     1043760,93000 ;      515659,64985 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/04/2014;Realizado ;Ingresso   ;      462510,80000 ;      462510,80000 ;      209175,13440 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/12/2009;Realizado ;Amortizacao;        1223,41000 ;        1223,41000 ;         699,80275 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2010;Realizado ;Amortizacao;        1230,18000 ;        1230,18000 ;         707,40270 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/02/2010;Realizado ;Amortizacao;        1534,84000 ;        1534,84000 ;         819,45107 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/03/2010;Realizado ;Amortizacao;        1542,51000 ;        1542,51000 ;         865,30183 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/04/2010;Realizado ;Amortizacao;        1551,45000 ;        1551,45000 ;         871,29432 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/05/2010;Realizado ;Amortizacao;        1559,21000 ;        1559,21000 ;         850,01892 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/06/2010;Realizado ;Amortizacao;        6957,01000 ;        6957,01000 ;        3728,67907 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2010;Realizado ;Amortizacao;        6995,92000 ;        6995,92000 ;        3963,18868 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/08/2010;Realizado ;Amortizacao;        7038,99000 ;        7038,99000 ;        4013,77287 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2010;Realizado ;Amortizacao;        7484,60000 ;        7484,60000 ;        4343,61276 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2010;Realizado ;Amortizacao;        7527,30000 ;        7527,30000 ;        4446,07501 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/11/2010;Realizado ;Amortizacao;        7986,90000 ;        7986,90000 ;        4706,44056 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/12/2010;Realizado ;Amortizacao;        8029,53000 ;        8029,53000 ;        4716,54592 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/01/2011;Realizado ;Amortizacao;        8172,88000 ;        8172,88000 ;        4847,17167 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/02/2011;Realizado ;Amortizacao;        8219,61000 ;        8219,61000 ;        4918,61462 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/03/2011;Realizado ;Amortizacao;        8265,04000 ;        8265,04000 ;        5020,59854 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/04/2011;Realizado ;Amortizacao;        8316,43000 ;        8316,43000 ;        5276,19268 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/05/2011;Realizado ;Amortizacao;        9505,90000 ;        9505,90000 ;        5868,18218 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/06/2011;Realizado ;Amortizacao;       10346,01000 ;       10346,01000 ;        6539,81638 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2011;Realizado ;Amortizacao;       10409,32000 ;       10409,32000 ;        6658,11335 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2011;Realizado ;Amortizacao;       10474,22000 ;       10474,22000 ;        6546,70172 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2011;Realizado ;Amortizacao;       11707,23000 ;       11707,23000 ;        7066,95231 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/10/2011;Realizado ;Amortizacao;       11777,57000 ;       11777,57000 ;        6738,41889 ;            0,00 ;
