CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  
10020066;SANEAMENTO P/TODOS I     ;4500000;08/03/2007;CAIXA ECONOMICA FEDERAL                           ;0190486-66;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/02/2021;230;32;Mensal         ;3425102,69;24/03/2009;Realizado ;Ingresso   ;27959,66;27959,66;12389,48453;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2014;Realizado ;Amortizacao;2747,67;2747,67;1195,34635;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/05/2020;Realizado ;Amortizacao;21404,84;21404,84;3712,66949;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;18/03/2014;Realizado ;Ingresso   ;8555,12;8555,12;3637,03816;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;15/04/2014;Realizado ;Ingresso   ;66241,79;66241,79;29761,77382;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;18/06/2014;Realizado ;Ingresso   ;483113,66;483113,66;214391,3489;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/07/2014;Realizado ;Ingresso   ;315596,21;315596,21;315596,21;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2014;Realizado ;Ingresso   ;0;0;0;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2014;Realizado ;Ingresso   ;93127,26;93127,26;40514,08319;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/11/2014;Realizado ;Ingresso   ;256428,29;256428,29;101607,1456;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/12/2014;Realizado ;Ingresso   ;266185,94;266185,94;99202,17611;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/06/2015;Realizado ;Ingresso   ;62903,12;62903,12;20263,61107;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;;          ;          ;          ;          ;     ;     ;               ;                       ;17/07/2015;Realizado ;Ingresso   ;109369,26;109369,26;34357,25933;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2016;Realizado ;Ingresso   ;94911,9;94911,9;23579,91243;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2017;Realizado ;Ingresso   ;240525;240525;76794,822;0
