CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020085;SAN. P/TODOS I-S. JOÃO PI;        270000,00000 ;08/03/2007;CAIXA ECONOMICA FEDERAL                           ;190489-98 ;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/02/2021;  229;   24;Mensal         ;          118828,71000 ;30/03/2009;Realizado ;Ingresso   ;       16494,62000 ;       16494,62000 ;        7121,88207 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/05/2009;Realizado ;Ingresso   ;      165284,77000 ;      165284,77000 ;       81685,38618 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/04/2009;Realizado ;Amortizacao;          30,99000 ;          30,99000 ;          14,07720 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/05/2009;Realizado ;Amortizacao;          31,27000 ;          31,27000 ;          15,06963 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/06/2009;Realizado ;Amortizacao;         347,26000 ;         347,26000 ;         176,23792 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2009;Realizado ;Amortizacao;         349,81000 ;         349,81000 ;         175,06241 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2009;Realizado ;Amortizacao;         352,51000 ;         352,51000 ;         191,45523 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2009;Realizado ;Amortizacao;         354,93000 ;         354,93000 ;         194,43775 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2009;Realizado ;Amortizacao;         357,30000 ;         357,30000 ;         205,20096 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/11/2009;Realizado ;Amortizacao;         359,68000 ;         359,68000 ;         211,27603 ;            0,00 ;
