CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020036;SANEAMENTO PARA TODOS    ;        180000,00000 ;08/03/2007;CAIXA ECONOMICA FEDERAL                           ;190.491-39;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/02/2021;  247;   19;Mensal         ;           96041,39000 ;06/06/2008;Realizado ;Ingresso   ;      119371,46000 ;      119371,46000 ;       73314,36958 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/10/2008;Realizado ;Ingresso   ;       27326,70000 ;       27326,70000 ;       12552,79291 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2008;Realizado ;Amortizacao;         214,49000 ;         214,49000 ;          89,65467 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/11/2008;Realizado ;Amortizacao;         265,68000 ;         265,68000 ;         124,52687 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/12/2008;Realizado ;Amortizacao;         267,88000 ;         267,88000 ;         107,88867 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2009;Realizado ;Amortizacao;         270,25000 ;         270,25000 ;         119,13971 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/02/2009;Realizado ;Amortizacao;         272,55000 ;         272,55000 ;         121,42375 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/03/2009;Realizado ;Amortizacao;         274,49000 ;         274,49000 ;         115,42304 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/04/2009;Realizado ;Amortizacao;         276,72000 ;         276,72000 ;         125,70006 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/05/2009;Realizado ;Amortizacao;         278,69000 ;         278,69000 ;         134,30628 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/06/2009;Realizado ;Amortizacao;         280,67000 ;         280,67000 ;         142,44283 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2009;Realizado ;Amortizacao;         282,73000 ;         282,73000 ;         141,49222 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/08/2009;Realizado ;Amortizacao;         284,91000 ;         284,91000 ;         154,74031 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/09/2009;Realizado ;Amortizacao;         286,87000 ;         286,87000 ;         157,15312 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/10/2009;Realizado ;Amortizacao;         288,78000 ;         288,78000 ;         165,84924 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/11/2009;Realizado ;Amortizacao;         290,70000 ;         290,70000 ;         170,75718 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/12/2009;Realizado ;Amortizacao;         292,64000 ;         292,64000 ;         167,39300 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/01/2010;Realizado ;Amortizacao;         294,75000 ;         294,75000 ;         169,49304 ;            0,00 ;
