CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
20120002;VIVA O SEMI ARIDO        ;      12770903,00000 ;09/04/2013;FUNDO INTERNACIONAL DE DESENVOLVIMENTO AGRÍCOLA   ;I-788-BR  ;Oficial   ;DIREITOS ESPECIAIS DE SAQ;          ;Externa   ;Contratada;SAC       ;15/12/2016;   30;   36;Semestral      ;         8511658,24627 ;16/09/2013;Realizado ;Ingresso   ;     1324056,23262 ;     4562000,00000 ;     2014207,30331 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/04/2016;Realizado ;Ingresso   ;      443600,49381 ;     2197281,89000 ;      612550,17788 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/07/2016;Realizado ;Ingresso   ;     1042948,81810 ;     4831640,83000 ;     1471256,60922 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;18/01/2017;Realizado ;Ingresso   ;      653302,16130 ;     2824434,30000 ;      876849,09485 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/09/2017;Realizado ;Ingresso   ;      958456,50963 ;     4244189,19314 ;     1353628,12855 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/10/2017;Realizado ;Ingresso   ;      313536,19043 ;     1427270,04000 ;      440690,79245 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/10/2017;Realizado ;Ingresso   ;     1413658,25421 ;     6496000,00000 ;     1980422,12148 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;19/12/2017;Realizado ;Ingresso   ;      648446,85642 ;     3003137,79000 ;      913279,03705 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;03/04/2018;Realizado ;Ingresso   ;      508426,00770 ;     2448910,13000 ;      738976,86515 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/06/2018;Realizado ;Ingresso   ;      914440,40046 ;     4927736,43000 ;     1290321,12706 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/08/2018;Realizado ;Ingresso   ;     1106363,18434 ;     6234710,58000 ;     1532357,26483 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/03/2019;Realizado ;Ingresso   ;     1755642,21204 ;     9359933,10000 ;     2447663,70275 ;            0,00 ;
