CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110025;PARC. INSS LEI 12810-EXEC;     110265558,61000 ;27/08/2013;RECEITA FEDERAL DO BRASIL                         ;          ;Oficial   ;REAL                     ;SELIC     ;Interna   ;Contratada;SAC       ;10/08/2020;  268;     ;Mensal         ;        80367779,91000 ;01/11/2013;Realizado ;Ingresso   ;   110265558,61000 ;   110265558,61000 ;    49075892,17055 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/11/2013;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      204868,81459 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/12/2013;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      196121,08023 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      189358,12593 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      196892,93914 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/03/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      203021,86647 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      205470,68077 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/05/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      205195,01687 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/06/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      208594,87161 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/07/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      202626,74822 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/08/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      205139,88409 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/09/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      187446,85624 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/10/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      187970,61764 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/11/2014;Realizado ;Amortizacao;      459439,83000 ;      459439,83000 ;      179457,19759 ;            0,00 ;
