CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110026;PARC. INSS LEI12810-LEGISL;      17625202,55000 ;27/08/2013;RECEITA FEDERAL DO BRASIL                         ;          ;Oficial   ;REAL                     ;SELIC     ;Interna   ;Contratada;SAC       ;10/02/2021;  269;     ;Mensal         ;        58846421,22000 ;01/11/2013;Realizado ;Ingresso   ;    17625202,55000 ;    17625202,55000 ;     7844448,89892 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;01/08/2017;Realizado ;Ingresso   ;    51016826,30000 ;    51016826,30000 ;    16371809,72793 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/11/2013;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       31587,29880 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/12/2013;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       31348,62419 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       30267,61183 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       31472,00060 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/03/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       32451,66806 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       32843,09441 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/05/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       32799,03141 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/06/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       33342,47512 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/07/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       32388,51109 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/08/2014;Realizado ;Amortizacao;       73438,34000 ;       73438,34000 ;       32790,21881 ;            0,00 ;
