CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110024;PARC. L 11941 EMGERPI-OUTR;      36622151,18000 ;30/06/2011;RECEITA FEDERAL DO BRASIL                         ;          ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;30/12/2011;  153;     ;Mensal         ;         8019400,17000 ;30/06/2011;Realizado ;Ingresso   ;    36622151,18000 ;    36622151,18000 ;    23459051,38137 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/12/2011;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      122598,48901 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      132236,64822 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/02/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      134547,87466 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/03/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      126211,36139 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      121561,31178 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/05/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      114537,94307 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/06/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      113774,43344 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/07/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      114986,39000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/08/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      112884,43879 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/09/2012;Realizado ;Amortizacao;      229972,78000 ;      229972,78000 ;      113252,39523 ;            0,00 ;
