CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110047;PARC. ORD/SIMPLIF. INSS E;       5399450,53000 ;24/09/2018;RECEITA FEDERAL DO BRASIL                         ;          ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;28/02/2020;   70;     ;Mensal         ;        24120839,83000 ;28/09/2018;Realizado ;Ingresso   ;     5399450,53000 ;     5399450,53000 ;     1348512,76986 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2020;Realizado ;Ingresso   ;    32006442,00000 ;    32006442,00000 ;     7144157,91882 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/09/2018;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       22475,21229 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/10/2018;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       24205,73614 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/11/2018;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       89936,84549 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/12/2018;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       23223,93607 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       24642,19171 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       24070,74988 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/03/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       23093,44936 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       22809,07830 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/05/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       22836,07555 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/06/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       23482,20978 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/07/2019;Realizado ;Amortizacao;       89990,84000 ;       89990,84000 ;       23902,46701 ;            0,00 ;
