CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110031;PARC. PASEP LEI 12.810/13 ;      13149701,65000 ;27/08/2013;RECEITA FEDERAL DO BRASIL                         ;          ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;31/03/2021;  240;     ;Mensal         ;         8156144,37000 ;01/11/2013;Realizado ;Ingresso   ;    13149701,65000 ;    13149701,65000 ;     5852537,71336 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/11/2013;Realizado ;Amortizacao;       55483,96000 ;       55483,96000 ;       23864,76087 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/12/2013;Realizado ;Amortizacao;       55483,96000 ;       55483,96000 ;       23684,43800 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       22867,71823 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/02/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       23777,65534 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/03/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       24517,81150 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/04/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       24813,54106 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/05/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       24780,25068 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/06/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       25190,83205 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/07/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       24470,09528 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/08/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       24773,59260 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/09/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       22636,90492 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/10/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       22700,15664 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;20/11/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       21800,76149 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/12/2014;Realizado ;Amortizacao;       55483,97000 ;       55483,97000 ;       20888,05018 ;            0,00 ;
