CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110044;PARC. SIMPL FGTS EMGERPI ;        234973,13000 ;06/09/2016;RECEITA FEDERAL DO BRASIL                         ;738622    ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;30/09/2016;   60;     ;Mensal         ;            3916,15000 ;30/09/2016;Realizado ;Ingresso   ;      234973,13000 ;      234973,13000 ;       72383,47269 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/09/2016;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1206,39157 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/10/2016;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1231,06375 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/11/2016;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1152,93516 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;30/12/2016;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1201,61378 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/01/2017;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1252,36799 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/02/2017;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1263,56838 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/03/2017;Realizado ;Amortizacao;           0,00000 ;           0,00000 ;           0,00000 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/04/2017;Realizado ;Amortizacao;        7832,44000 ;        7832,44000 ;        2448,81236 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/05/2017;Realizado ;Amortizacao;        3916,22000 ;        3916,22000 ;        1207,29230 ;            0,00 ;
