CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10110050;PARC. SIMPLIF INSS;        663768,54000 ;02/05/2018;RECEITA FEDERAL DO BRASIL                         ;624409147 ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;10/06/2019;   72;     ;Mensal         ;         3628704,91000 ;04/05/2018;Realizado ;Ingresso   ;      663768,54000 ;      663768,54000 ;      187992,52589 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;02/05/2019;Realizado ;Ingresso   ;     6597644,88000 ;     6597644,88000 ;     1663926,03873 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/05/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        6266,41809 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;12/06/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5972,58986 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/07/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5753,98873 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/08/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5750,89115 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/09/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5395,55369 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/10/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5898,46903 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/11/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5899,13280 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/12/2018;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5657,07852 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/01/2019;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        6001,13191 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/02/2019;Realizado ;Amortizacao;       22125,62000 ;       22125,62000 ;        5950,24298 ;            0,00 ;
