CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  
10020001;PROMORADIA III           ;33250000;01/09/2010;CAIXA ECONOMICA FEDERAL                           ;0288033-  ;Oficial   ;REAL                     ;TR        ;Interna   ;Contratada;Price     ;08/01/2021;241;14;Mensal         ;14951636,2;29/04/2011;Realizado ;Ingresso   ;186452,41;186452,41;118509,1518;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;26/08/2011;Realizado ;Ingresso   ;181136,75;181136,75;112408,0329;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;01/11/2011;Realizado ;Ingresso   ;3370312,25;3370312,25;1997213,336;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/12/2011;Realizado ;Ingresso   ;1780796,2;1780796,2;955664,2807;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;15/03/2012;Realizado ;Ingresso   ;1737266,82;1737266,82;964825,8738;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/05/2012;Realizado ;Ingresso   ;1278830,69;1278830,69;653086,0451;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;27/08/2012;Realizado ;Ingresso   ;2660226,2;2660226,2;1310906,267;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/11/2012;Realizado ;Ingresso   ;3141021,14;3141021,14;1542963,815;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;18/02/2013;Realizado ;Ingresso   ;941398,08;941398,08;478446,7462;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/06/2013;Realizado ;Ingresso   ;287384,64;287384,64;135036,2946;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;29/07/2013;Realizado ;Ingresso   ;530967,09;530967,09;234846,7439;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/11/2013;Realizado ;Ingresso   ;566866,06;566866,06;248349,6895;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;20/06/2014;Realizado ;Ingresso   ;533829,1;533829,1;238525,5185;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;25/11/2014;Realizado ;Ingresso   ;110195,07;110195,07;43663,69453;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/05/2018;Realizado ;Ingresso   ;432621,34;432621,34;118503,6375;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;28/06/2018;Realizado ;Ingresso   ;421452,55;421452,55;109404,8675;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;14/09/2018;Realizado ;Ingresso   ;433955,49;433955,49;103619,8919;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;23/10/2018;Realizado ;Ingresso   ;177363,18;177363,18;47831,30238;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;10/12/2018;Realizado ;Ingresso   ;343379,72;343379,72;87795,3268;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;24/07/2019;Realizado ;Ingresso   ;186878,28;186878,28;49705,88491;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;26/03/2020;Realizado ;Ingresso   ;94355,64;94355,64;18867,35377;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;11/08/2020;Realizado ;Ingresso   ;54605,9;54605,9;10058,95283;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;31/12/2021;Previsto  ;Ingresso   ;13798705,4;0;0;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/12/2011;Realizado ;Amortizacao;9104,12;9104,12;5074,4544;0
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;09/01/2012;Realizado ;Amortizacao;13512,32;13512,32;7326,92039;0
