CONTRATO;NOME CONTRATO            ;VALOR CONTRATO       ;DT ASSINAT;CREDOR                                            ;CONT. CRED;SITUACAO  ;MOEDA                    ;INDEXADOR ;TP DIVIDA ;EXAM/CONTR;TP AMORTIZ;DT AMORTIZ;PRAZO;CAREN;PERIODICIDADE  ;SALDO DEVEDOR          ;DT PLANILH;PREV/REALI;EVENTO     ;VLR MOEDA ORIGIN   ;VLR REALIZADO RS   ;VLR REALIZADO USS  ;PARCELA MES RLR  ;
10020120;PARCELAMENTO FCVS/EMGERPI;      46288494,57000 ;19/01/2011;CAIXA ECONOMICA FEDERAL                           ;          ;Oficial   ;REAL                     ;          ;Interna   ;Contratada;SAC       ;07/02/2011;  120;     ;Mensal         ;               0,57000 ;19/01/2011;Realizado ;Ingresso   ;    46288494,57000 ;    46288494,57000 ;    27694406,30123 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/02/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      229930,37919 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;04/03/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      234316,21400 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/04/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      242189,11535 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/05/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      239423,37784 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/06/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      244692,55140 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/07/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      247566,29541 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/08/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      242675,14454 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;05/09/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      233467,59161 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/10/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      218346,68357 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;08/11/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      221012,12935 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/12/2011;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      214535,59756 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;06/01/2012;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      209081,27002 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/02/2012;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      223473,13428 ;            0,00 ;
        ;                         ;                     ;          ;                                                  ;          ;          ;                         ;          ;          ;          ;          ;          ;     ;     ;               ;                       ;07/03/2012;Realizado ;Amortizacao;      385737,45000 ;      385737,45000 ;      218026,52148 ;            0,00 ;
